Explore_Iteration	MacroPopSize	MicroPopSize	Hamming_Loss	Accuracy	AveGenerality	Time(min)	TP	TN	OverGenAcc
219000	388	500	0.008	0.975	0.06	12.06	2.094	0.881	0.013
220000	386	500	0.009	0.974	0.06	12.11	2.094	0.88	0.000
221000	389	500	0.008	0.976	0.07	12.16	2.091	0.885	0.009
222000	385	500	0.008	0.976	0.07	12.20	2.099	0.877	0.004
223000	385	500	0.008	0.977	0.07	12.26	2.095	0.882	0.000
224000	386	500	0.009	0.973	0.07	12.30	2.101	0.872	0.000
225000	388	500	0.008	0.977	0.07	12.35	2.088	0.889	0.010
226000	390	500	0.008	0.975	0.07	12.40	2.096	0.879	0.000
227000	384	500	0.011	0.967	0.07	12.45	2.093	0.874	0.015
228000	379	500	0.009	0.973	0.06	12.50	2.089	0.884	0.000
229000	384	500	0.009	0.974	0.07	12.56	2.096	0.878	0.019
230000	383	500	0.008	0.976	0.05	12.62	2.098	0.878	0.000
231000	381	500	0.008	0.976	0.06	12.67	2.098	0.878	0.004
232000	373	500	0.012	0.964	0.06	12.72	2.097	0.867	0.000
233000	376	500	0.012	0.963	0.06	12.78	2.088	0.875	0.000
234000	386	500	0.013	0.961	0.06	12.83	2.095	0.866	0.004
235000	386	500	0.013	0.962	0.07	12.87	2.09	0.872	0.000
236000	379	500	0.012	0.964	0.07	12.93	2.09	0.874	0.010
237000	385	500	0.011	0.967	0.07	12.98	2.104	0.863	0.000
238000	380	500	0.013	0.96	0.07	13.03	2.095	0.865	0.017
239000	381	500	0.008	0.975	0.07	13.09	2.098	0.877	0.000
240000	376	500	0.009	0.974	0.07	13.14	2.087	0.886	0.000
241000	377	500	0.008	0.975	0.06	13.20	2.097	0.878	0.000
242000	372	500	0.008	0.975	0.07	13.26	2.092	0.883	0.000
243000	376	500	0.008	0.976	0.07	13.31	2.088	0.888	0.000
244000	380	500	0.008	0.976	0.07	13.37	2.098	0.877	0.004
245000	380	500	0.008	0.977	0.07	13.42	2.099	0.878	0.000
246000	379	500	0.008	0.976	0.07	13.48	2.097	0.879	0.000
247000	372	500	0.007	0.978	0.07	13.53	2.095	0.883	0.000
248000	372	500	0.008	0.975	0.07	13.58	2.089	0.886	0.000
249000	376	500	0.008	0.977	0.08	13.63	2.092	0.885	0.000
250000	381	500	0.009	0.974	0.07	13.68	2.09	0.884	0.006
251000	374	500	0.008	0.977	0.07	13.73	2.093	0.884	0.000
252000	368	500	0.008	0.977	0.07	13.79	2.101	0.876	0.000
253000	362	500	0.008	0.977	0.07	13.83	2.095	0.882	0.006
254000	355	500	0.009	0.975	0.07	13.89	2.097	0.877	0.000
255000	357	500	0.009	0.974	0.07	13.94	2.092	0.882	0.000
256000	356	500	0.008	0.976	0.07	13.99	2.093	0.883	0.000
257000	362	500	0.008	0.975	0.07	14.04	2.095	0.88	0.000
258000	360	500	0.008	0.976	0.07	14.09	2.088	0.888	0.000
259000	360	500	0.008	0.977	0.07	14.13	2.099	0.878	0.005
260000	358	500	0.008	0.977	0.07	14.19	2.089	0.888	0.000
261000	351	500	0.008	0.976	0.06	14.24	2.098	0.878	0.000
262000	352	500	0.007	0.979	0.07	14.29	2.091	0.888	0.000
263000	356	500	0.005	0.985	0.06	14.34	2.093	0.892	0.000
264000	366	500	0.006	0.982	0.07	14.39	2.094	0.888	0.009
265000	367	500	0.008	0.976	0.07	14.44	2.089	0.887	0.000
266000	365	500	0.007	0.979	0.07	14.50	2.097	0.882	0.000
267000	363	500	0.007	0.979	0.07	14.55	2.101	0.878	0.000
268000	368	500	0.006	0.981	0.07	14.61	2.095	0.886	0.000
269000	363	500	0.006	0.981	0.07	14.66	2.097	0.884	0.000
270000	359	500	0.007	0.978	0.07	14.71	2.085	0.893	0.000
271000	366	500	0.008	0.977	0.07	14.76	2.087	0.89	0.000
272000	361	500	0.007	0.978	0.07	14.81	2.089	0.889	0.000
273000	367	500	0.007	0.978	0.07	14.86	2.085	0.893	0.015
274000	367	500	0.008	0.977	0.07	14.91	2.097	0.88	0.000
275000	372	500	0.007	0.978	0.07	14.96	2.087	0.891	0.004
276000	370	500	0.007	0.979	0.07	15.02	2.09	0.889	0.006
277000	378	500	0.007	0.979	0.07	15.07	2.079	0.9	0.013
278000	385	500	0.006	0.981	0.07	15.13	2.093	0.888	0.000
279000	375	500	0.006	0.982	0.07	15.18	2.09	0.892	0.008
280000	374	500	0.008	0.977	0.07	15.23	2.089	0.888	0.000
281000	367	500	0.007	0.979	0.07	15.28	2.097	0.881	0.000
282000	358	500	0.008	0.975	0.07	15.33	2.09	0.885	0.000
283000	359	500	0.009	0.973	0.07	15.37	2.095	0.878	0.000
284000	363	500	0.006	0.981	0.07	15.43	2.096	0.885	0.008
285000	357	500	0.009	0.976	0.06	15.49	2.09	0.884	0.000
286000	354	500	0.009	0.975	0.06	15.54	2.095	0.877	0.009
287000	354	500	0.009	0.975	0.06	15.59	2.091	0.882	0.000
288000	355	500	0.007	0.98	0.05	15.64	2.089	0.889	0.000
289000	364	500	0.008	0.979	0.06	15.69	2.103	0.873	0.000
290000	356	500	0.009	0.977	0.06	15.74	2.095	0.879	0.004
291000	362	500	0.007	0.979	0.06	15.78	2.094	0.884	0.000
292000	362	500	0.008	0.978	0.06	15.82	2.086	0.889	0.000
293000	361	500	0.008	0.977	0.06	15.86	2.094	0.881	0.000
294000	358	500	0.008	0.978	0.05	15.91	2.088	0.887	0.000
295000	356	500	0.007	0.979	0.06	15.95	2.088	0.89	0.000
296000	351	500	0.007	0.98	0.05	16.00	2.096	0.883	0.000
297000	346	500	0.008	0.979	0.06	16.04	2.098	0.879	0.000
298000	345	500	0.01	0.974	0.06	16.08	2.099	0.872	0.004
299000	345	500	0.009	0.976	0.05	16.12	2.094	0.88	0.000
300000	349	500	0.01	0.974	0.05	16.17	2.091	0.88	0.000
301000	343	500	0.009	0.975	0.05	16.22	2.093	0.879	0.000
302000	349	500	0.009	0.974	0.05	16.26	2.092	0.88	0.005
303000	343	500	0.008	0.977	0.05	16.31	2.094	0.883	0.004
304000	344	500	0.008	0.977	0.06	16.36	2.1	0.877	0.000
305000	344	500	0.008	0.977	0.05	16.40	2.095	0.882	0.000
306000	352	500	0.008	0.976	0.06	16.45	2.096	0.88	0.004
307000	355	500	0.009	0.974	0.06	16.50	2.092	0.882	0.226
308000	355	500	0.008	0.977	0.06	16.55	2.093	0.884	0.002
309000	357	500	0.009	0.973	0.06	16.60	2.096	0.877	0.004
310000	353	500	0.009	0.973	0.06	16.65	2.088	0.885	0.000
311000	354	500	0.008	0.976	0.06	16.70	2.1	0.875	0.000
312000	354	500	0.008	0.976	0.06	16.76	2.093	0.882	0.000
313000	357	500	0.008	0.977	0.06	16.80	2.1	0.877	0.005
314000	353	500	0.007	0.978	0.06	16.85	2.091	0.887	0.000
315000	349	500	0.009	0.975	0.06	16.90	2.093	0.881	0.000
316000	347	500	0.009	0.974	0.06	16.94	2.094	0.88	0.000
317000	337	500	0.012	0.97	0.06	16.99	2.09	0.874	0.000
318000	343	500	0.01	0.973	0.06	17.04	2.097	0.872	0.021
319000	339	500	0.01	0.974	0.06	17.10	2.099	0.872	0.000
320000	346	500	0.009	0.975	0.06	17.15	2.096	0.877	0.000
321000	350	500	0.008	0.976	0.06	17.20	2.097	0.879	0.016
322000	343	500	0.009	0.974	0.06	17.24	2.09	0.884	0.012
323000	335	500	0.009	0.975	0.06	17.29	2.093	0.881	0.000
324000	344	500	0.01	0.973	0.06	17.33	2.093	0.877	0.000
325000	341	500	0.01	0.974	0.06	17.37	2.092	0.879	0.004
326000	331	500	0.009	0.974	0.06	17.42	2.101	0.873	0.004
327000	339	500	0.009	0.974	0.06	17.47	2.095	0.879	0.000
328000	342	500	0.009	0.974	0.07	17.51	2.1	0.874	0.000
329000	342	500	0.008	0.975	0.06	17.56	2.087	0.888	0.000
330000	341	500	0.01	0.973	0.07	17.61	2.098	0.872	0.000
331000	340	500	0.011	0.971	0.07	17.65	2.091	0.877	0.005
332000	340	500	0.011	0.971	0.06	17.70	2.089	0.879	0.010
333000	344	500	0.01	0.971	0.07	17.76	2.097	0.872	0.006
334000	342	500	0.01	0.971	0.07	17.81	2.097	0.873	0.008
335000	345	500	0.011	0.971	0.07	17.87	2.099	0.868	0.008
336000	353	500	0.009	0.973	0.07	17.92	2.095	0.878	0.006
337000	342	500	0.01	0.971	0.07	17.97	2.091	0.88	0.000
338000	346	500	0.009	0.972	0.07	18.02	2.095	0.877	0.011
339000	348	500	0.01	0.97	0.07	18.08	2.092	0.878	0.005
340000	343	500	0.01	0.971	0.07	18.13	2.089	0.881	0.016
341000	346	500	0.011	0.971	0.07	18.18	2.102	0.866	0.008
342000	357	500	0.011	0.971	0.07	18.24	2.097	0.871	0.000
343000	352	500	0.012	0.969	0.07	18.29	2.094	0.871	0.000
344000	363	500	0.012	0.969	0.07	18.34	2.085	0.879	0.004
345000	359	500	0.012	0.971	0.06	18.39	2.096	0.869	0.016
346000	364	500	0.011	0.97	0.07	18.45	2.092	0.874	0.000
347000	361	500	0.011	0.971	0.07	18.50	2.088	0.878	0.004
348000	359	500	0.012	0.97	0.06	18.56	2.097	0.867	0.000
349000	360	500	0.012	0.971	0.06	18.60	2.099	0.866	0.010
350000	358	500	0.012	0.969	0.06	18.65	2.095	0.868	0.009
351000	352	500	0.012	0.97	0.06	18.70	2.093	0.872	0.006
352000	361	500	0.012	0.969	0.07	18.76	2.089	0.874	0.006
353000	358	500	0.011	0.972	0.07	18.82	2.092	0.874	0.000
354000	348	500	0.013	0.968	0.07	18.86	2.09	0.872	0.000
355000	355	500	0.012	0.971	0.07	18.90	2.092	0.873	0.005
356000	361	500	0.012	0.969	0.07	18.95	2.099	0.864	0.000
357000	371	500	0.011	0.972	0.07	19.00	2.094	0.872	0.000
358000	370	500	0.011	0.972	0.07	19.06	2.097	0.871	0.000
359000	369	500	0.013	0.968	0.07	19.11	2.088	0.874	0.009
360000	366	500	0.011	0.971	0.07	19.16	2.091	0.876	0.000
361000	365	500	0.009	0.974	0.07	19.21	2.093	0.881	0.000
362000	367	500	0.008	0.98	0.07	19.26	2.085	0.891	0.006
363000	367	500	0.008	0.983	0.07	19.31	2.098	0.879	0.000
364000	355	500	0.007	0.983	0.06	19.36	2.091	0.889	0.010
365000	356	500	0.008	0.98	0.06	19.41	2.098	0.879	0.000
366000	358	500	0.007	0.983	0.06	19.46	2.085	0.893	0.010
367000	353	500	0.007	0.983	0.06	19.51	2.091	0.888	0.006
368000	360	500	0.008	0.981	0.06	19.56	2.089	0.887	0.006
369000	356	500	0.008	0.979	0.06	19.61	2.084	0.891	0.010
370000	359	500	0.008	0.98	0.06	19.66	2.091	0.884	0.005
371000	361	500	0.008	0.982	0.06	19.71	2.096	0.88	0.004
372000	361	500	0.007	0.983	0.06	19.76	2.093	0.885	0.006
373000	365	500	0.007	0.985	0.06	19.81	2.093	0.887	0.000
374000	365	500	0.009	0.981	0.06	19.86	2.082	0.892	0.004
375000	365	500	0.011	0.978	0.06	19.91	2.082	0.886	0.000
376000	364	500	0.009	0.981	0.06	19.95	2.084	0.888	0.012
377000	360	500	0.006	0.983	0.06	20.00	2.086	0.895	0.007
378000	363	500	0.01	0.98	0.06	20.05	2.091	0.879	0.005
379000	365	500	0.01	0.978	0.06	20.10	2.088	0.882	0.014
380000	364	500	0.008	0.98	0.06	20.15	2.095	0.882	0.000
381000	357	500	0.008	0.979	0.06	20.21	2.081	0.894	0.014
382000	353	500	0.007	0.981	0.06	20.26	2.095	0.884	0.010
383000	347	500	0.009	0.979	0.06	20.30	2.084	0.89	0.014
384000	363	500	0.007	0.981	0.07	20.35	2.085	0.894	0.004
385000	360	500	0.01	0.97	0.07	20.39	2.095	0.875	0.000
386000	361	500	0.01	0.972	0.07	20.44	2.094	0.877	0.004
387000	355	500	0.011	0.972	0.07	20.48	2.094	0.874	0.007
388000	353	500	0.011	0.97	0.07	20.52	2.094	0.873	0.001
389000	361	500	0.011	0.969	0.07	20.56	2.087	0.881	0.006
390000	358	500	0.011	0.97	0.07	20.60	2.091	0.877	0.000
391000	352	500	0.011	0.969	0.06	20.64	2.089	0.877	0.004
392000	354	500	0.011	0.97	0.06	20.68	2.088	0.88	0.000
